1,1,101,Industrial vacuum cleaner,,20,1500,2100
2,1,102,Float Plate for Palletizer,,20,4500,6300
3,1,103,Air Compressor for painting,,20,3000,4200
4,1,104,Adobe Cutter without Disk,,20,4000,5600
5,1,105,Floor Cutter without Disk,,20,1540,2156
6,1,106,Diamond Tip Disk,,20,1100,1540
7,1,107,Air extractor,,20,1540,2156
8,1,108,Mower,,20,1540,2156
9,1,109,Electric Water Washer,,20,2600,3640
10,1,110,Petrol pressure washer,,20,2210,3094
11,1,111,Gasoline motor pump,,20,2860,4004
12,1,112,Electric motor pump,,20,2400,3360
13,1,113,Circular saw,,20,1100,1540
14,1,114,Tungsten disc for circular saw,,20,4500,6300
15,1,115,Electric welder,,20,1980,2772
16,1,116,Welders face,,20,4200,5880
17,1,117,Illumination tower,,20,1800,2520
18,2,201,Floor Demolishing Hammer 110V,,20,5600,7840
19,2,202,Muela or chisel hammer demolishing floor,,20,9600,13440
20,2,203,Wall Wrecking Drill 110V,,20,3850,5390
21,2,204,Muela or chisel hammer demolition wall,,20,9600,13440
22,2,205,1/2 Hammer Drill Wood and Metal,,20,8000,11200
23,2,206,Drill Percussion SDS Plus 110V,,20,3900,5460
24,2,207,Drill Percussion SDS Max 110V (Mining),,20,4600,6440
25,3,301,Hanging scaffolding,,20,1440,2016
26,3,302,Scaffolding hanging spacer,,20,1600,2240
27,3,303,Modular scaffolding frame,,20,900,1260
28,3,304,Frame scaffolding scissors,,20,100,140
29,3,305,Scaffolding scissors,,20,162,226.8
30,3,306,Internal ladder for scaffolding,,20,270,378
31,3,307,Security handrails,,20,75,105
32,3,308,Rotating wheel for scaffolding,,20,168,235.2
33,3,309,safety harness,,20,1750,2450
34,3,310,Sling for harness,,20,175,245
35,3,311,Metallic Platform,,20,420,588
36,4,401,6 Kva Diesel Power Plant,,20,3500,4900
37,4,402,10 Kva Diesel Power Plant,,20,3550,4970
38,4,403,20 Kva Diesel Power Plant,,20,3600,5040
39,4,404,30 Kva Diesel Power Plant,,20,3650,5110
40,4,405,60 Kva Diesel Power Plant,,20,3700,5180
41,4,406,75 Kva Diesel Power Plant,,20,3750,5250
42,4,407,100 Kva Diesel Power Plant,,20,3800,5320
43,4,408,120 Kva Diesel Power Plant,,20,3850,5390
44,5,501,Aluminum Scissor Ladder,,20,350,490
45,5,502,Electric extension,,20,370,518
46,5,503,Tensioner cat,,20,380,532
47,5,504,Lamina Covers Gap,,20,380,532
48,5,505,Pipe wrench,,20,480,672
49,5,506,Manila by Metro,,20,600,840
50,5,507,2-channel pulley,,20,900,1260
51,5,508,Tensor,,20,100,140
52,5,509,Weighing machine,,20,130,182
53,5,510,Hydrostatic pump,,20,770,1078
54,5,511,Chapeta,,20,660,924
55,5,512,Concrete sample cylinder,,20,400,560
56,5,513,Lever Shear,,20,450,630
57,5,514,Scissor Shear,,20,580,812
58,5,515,Pneumatic tire car,,20,420,588
59,5,516,Cone slump,,20,140,196
60,5,517,Baldosin cutter,,20,930,1302
